SRR,SampleName
SRR1564803,SRS694085
SRR1564804,SRS694086
SRR1564805,SRS694087
SRR1564806,SRS694088
SRR1564807,SRS694089
SRR1564808,SRS694090
SRR1553417,SRS677969
SRR1553416,SRS677871
SRR1553418,SRS677872
SRR1553419,SRS677872
SRR1553420,SRS677873
SRR1553421,SRS677874
SRR1553422,SRS677874
SRR1553423,SRS677875
SRR1553424,SRS677875
SRR1553425,SRS677876
SRR1553426,SRS677876
SRR1553427,SRS677877
SRR1553428,SRS677877
SRR1553429,SRS677878
SRR1553430,SRS677878
SRR1553431,SRS677879
SRR1553432,SRS677879
SRR1553433,SRS677880
SRR1553434,SRS677880
SRR1553435,SRS677881
SRR1553436,SRS677881
SRR1553437,SRS677882
SRR1553438,SRS677882
SRR1553439,SRS677883
SRR1553440,SRS677883
SRR1553441,SRS677884
SRR1553442,SRS677884
SRR1553443,SRS677885
SRR1553444,SRS677885
SRR1553445,SRS677886
SRR1553446,SRS677886
SRR1553447,SRS677887
SRR1553448,SRS677887
SRR1564809,SRS694091
SRR1564810,SRS694092
SRR1553449,SRS677888
SRR1553450,SRS677888
SRR1613377,SRS722184
SRR1613381,SRS722184
SRR1553451,SRS677889
SRR1553452,SRS677889
SRR1553453,SRS677890
SRR1553454,SRS677890
SRR1613382,SRS722185
SRR1613378,SRS722185
SRR1613379,SRS722186
SRR1613383,SRS722186
SRR1553455,SRS677891
SRR1553456,SRS677891
SRR1553457,SRS677892
SRR1553458,SRS677892
SRR1564811,SRS694093
SRR1553459,SRS677893
SRR1553460,SRS677893
SRR1553461,SRS677894
SRR1553462,SRS677894
SRR1613384,SRS722187
SRR1613380,SRS722187
SRR1553463,SRS677895
SRR1553464,SRS677895
SRR1553465,SRS677896
SRR1553466,SRS677896
SRR1564812,SRS694094
SRR1564813,SRS694095
SRR1553467,SRS677897
SRR1553468,SRS677897
SRR1553469,SRS677898
SRR1553470,SRS677898
SRR1564814,SRS694096
SRR1564815,SRS694097
SRR1564816,SRS694098
SRR1564817,SRS694099
SRR1553471,SRS677899
SRR1553472,SRS677899
SRR1553473,SRS677900
SRR1553474,SRS677900
SRR1553475,SRS677901
SRR1553476,SRS677901
SRR1553477,SRS677902
SRR1553478,SRS677902
SRR1553479,SRS677903
SRR1553480,SRS677903
SRR1553481,SRS677904
SRR1553482,SRS677904
SRR1553483,SRS677905
SRR1553484,SRS677905
SRR1553485,SRS677906
SRR1553486,SRS677906
SRR1553487,SRS677907
SRR1553488,SRS677907
SRR1553489,SRS677908
SRR1553490,SRS677908
SRR1553491,SRS677909
SRR1553492,SRS677909
SRR1553493,SRS677910
SRR1553494,SRS677910
SRR1553495,SRS677911
SRR1553496,SRS677911
SRR1735218,SRS803998
SRR1553497,SRS677912
SRR1553498,SRS677912
SRR1553499,SRS677913
SRR1553500,SRS677913
SRR1553501,SRS677914
SRR1553502,SRS677914
SRR1553503,SRS677915
SRR1553504,SRS677915
SRR1553505,SRS677916
SRR1553506,SRS677916
SRR1553507,SRS677917
SRR1553508,SRS677917
SRR1553509,SRS677918
SRR1553510,SRS677918
SRR1972602,SRS908785
SRR1553511,SRS677919
SRR1553512,SRS677919
SRR1553513,SRS677920
SRR1553514,SRS677920
SRR1553515,SRS677921
SRR1553516,SRS677921
SRR1553517,SRS677922
SRR1553518,SRS677922
SRR1553519,SRS677923
SRR1553520,SRS677923
SRR1553521,SRS677924
